msme_id,month,p2m_count,p2m_value,p2p_count,p2p_value,unique_counterparties
msme_elitemotors_006,2024-11-01,768,922019.66,40,48527.35,12
msme_elitemotors_006,2024-12-01,905,1086073.94,47,57161.79,12
msme_elitemotors_006,2025-01-01,707,849080.47,37,44688.45,11
msme_elitemotors_006,2025-02-01,753,904558.86,39,47608.36,14
msme_elitemotors_006,2025-03-01,774,928818.32,40,48885.17,13
msme_elitemotors_006,2025-04-01,804,965947.33,42,50839.33,10
msme_elitemotors_006,2025-05-01,951,1141806.84,50,60095.1,14
msme_elitemotors_006,2025-06-01,818,981975.21,43,51682.91,11
msme_elitemotors_006,2025-07-01,766,919751.05,40,48407.95,14
msme_elitemotors_006,2025-08-01,819,983099.33,43,51742.07,13
msme_elitemotors_006,2025-09-01,731,877880.26,38,46204.22,13
msme_elitemotors_006,2025-10-01,903,1084304.14,47,57068.64,11
msme_elitemotors_006,2025-11-01,938,1125621.67,49,59243.25,12
msme_elitemotors_006,2025-12-01,955,1146565.52,50,60345.55,9
msme_elitemotors_006,2026-01-01,956,1148218.53,50,60432.55,10
msme_elitemotors_006,2026-02-01,860,1032967.27,45,54366.7,14
msme_elitemotors_006,2026-03-01,902,1083590.88,47,57031.1,11
msme_elitemotors_006,2026-04-01,992,1191274.93,52,62698.68,13
msme_elitemotors_006,2026-05-01,999,1199477.76,52,63130.41,13
msme_elitemotors_006,2026-06-01,1088,1305886.76,57,68730.88,16
msme_goldenharvest_005,2024-07-01,51,61340.53,27,33029.52,7
msme_goldenharvest_005,2024-08-01,77,93248.66,41,50210.82,7
msme_goldenharvest_005,2024-09-01,55,66519.96,29,35818.44,7
msme_goldenharvest_005,2024-10-01,64,77088.13,34,41508.99,9
msme_goldenharvest_005,2024-11-01,34,41819.23,18,22518.05,6
msme_goldenharvest_005,2024-12-01,68,81809.88,36,44051.47,5
msme_goldenharvest_005,2025-01-01,19,23313.37,10,12553.35,7
msme_goldenharvest_005,2025-02-01,71,85308.21,38,45935.19,9
msme_goldenharvest_005,2025-03-01,75,91119.32,40,49064.25,7
msme_goldenharvest_005,2025-04-01,50,60927.16,27,32806.93,7
msme_goldenharvest_005,2025-05-01,70,85038.48,38,45789.95,8
msme_goldenharvest_005,2025-06-01,72,87525.32,39,47129.02,7
msme_goldenharvest_005,2025-07-01,60,72945.9,32,39278.56,6
msme_goldenharvest_005,2025-08-01,40,48098.57,21,25899.23,8
msme_goldenharvest_005,2025-09-01,106,128387.88,57,69131.94,7
msme_goldenharvest_005,2025-10-01,49,59848.02,26,32225.86,5
msme_goldenharvest_005,2025-11-01,103,124706.75,55,67149.79,7
msme_goldenharvest_005,2025-12-01,80,96754.29,43,52098.47,7
msme_goldenharvest_005,2026-01-01,69,83642.72,37,45038.39,9
msme_goldenharvest_005,2026-02-01,91,109739.28,49,59090.38,6
msme_goldenharvest_005,2026-03-01,104,124886.53,56,67246.59,9
msme_goldenharvest_005,2026-04-01,158,189636.28,85,102111.85,10
msme_goldenharvest_005,2026-05-01,83,99704.59,44,53687.09,5
msme_goldenharvest_005,2026-06-01,90,108178.46,48,58249.94,6
msme_retailmart_004,2024-07-01,415,498185.76,138,166061.92,1712
msme_retailmart_004,2024-08-01,630,756324.19,210,252108.06,2001
msme_retailmart_004,2024-09-01,531,637650.75,177,212550.25,1865
msme_retailmart_004,2024-10-01,601,721454.94,200,240484.98,1750
msme_retailmart_004,2024-11-01,674,809638.85,224,269879.62,1680
msme_retailmart_004,2024-12-01,1050,1260836.29,350,420278.76,2271
msme_retailmart_004,2025-01-01,939,1127051.05,313,375683.68,2270
msme_retailmart_004,2025-02-01,880,1056761.0,293,352253.67,2661
msme_retailmart_004,2025-03-01,735,882272.41,245,294090.8,1780
msme_retailmart_004,2025-04-01,783,939760.3,261,313253.43,2200
msme_retailmart_004,2025-05-01,707,849319.52,235,283106.51,1987
msme_retailmart_004,2025-06-01,814,977244.28,271,325748.09,2041
msme_retailmart_004,2025-07-01,990,1188316.08,330,396105.36,2083
msme_retailmart_004,2025-08-01,900,1081150.96,300,360383.65,1944
msme_retailmart_004,2025-09-01,942,1131038.65,314,377012.88,1590
msme_retailmart_004,2025-10-01,968,1161679.54,322,387226.51,2058
msme_retailmart_004,2025-11-01,1127,1353255.88,375,451085.29,1503
msme_retailmart_004,2025-12-01,986,1184170.77,328,394723.59,2052
msme_retailmart_004,2026-01-01,1099,1319820.67,366,439940.22,1830
msme_retailmart_004,2026-02-01,1354,1625619.67,451,541873.22,2741
msme_retailmart_004,2026-03-01,1043,1252792.13,347,417597.38,1822
msme_retailmart_004,2026-04-01,1241,1489279.97,413,496426.66,1624
msme_retailmart_004,2026-05-01,1120,1344768.26,373,448256.09,1831
msme_retailmart_004,2026-06-01,1002,1203362.8,334,401120.93,1997
msme_sakhi_001,2024-07-01,723,868609.85,127,153284.09,38
msme_sakhi_001,2024-08-01,662,795173.49,116,140324.73,46
msme_sakhi_001,2024-09-01,695,835076.29,122,147366.41,37
msme_sakhi_001,2024-10-01,764,916808.23,134,161789.69,45
msme_sakhi_001,2024-11-01,778,934153.16,137,164850.56,51
msme_sakhi_001,2024-12-01,775,930612.09,136,164225.66,43
msme_sakhi_001,2025-01-01,697,836454.64,123,147609.64,44
msme_sakhi_001,2025-02-01,642,770985.55,113,136056.27,49
msme_sakhi_001,2025-03-01,669,803719.69,118,141832.89,59
msme_sakhi_001,2025-04-01,641,769762.81,113,135840.5,40
msme_sakhi_001,2025-05-01,676,811793.3,119,143257.64,39
msme_sakhi_001,2025-06-01,740,888099.57,130,156723.45,42
msme_sakhi_001,2025-07-01,765,918086.7,135,162015.3,45
msme_sakhi_001,2025-08-01,705,846484.35,124,149379.59,41
msme_sakhi_001,2025-09-01,646,775735.52,114,136894.5,48
msme_sakhi_001,2025-10-01,745,894411.84,131,157837.38,51
msme_sakhi_001,2025-11-01,870,1044329.84,153,184293.5,38
msme_sakhi_001,2025-12-01,806,967801.96,142,170788.58,57
msme_sakhi_001,2026-01-01,744,892802.62,131,157553.4,37
msme_sakhi_001,2026-02-01,714,857276.48,126,151284.08,49
msme_sakhi_001,2026-03-01,671,805442.18,118,142136.86,47
msme_sakhi_001,2026-04-01,725,870061.29,127,153540.23,59
msme_sakhi_001,2026-05-01,719,863883.37,127,152450.01,42
msme_sakhi_001,2026-06-01,786,943643.28,138,166525.29,46
msme_techmart_003,2024-07-01,216,259384.37,24,28820.49,26
msme_techmart_003,2024-08-01,448,538396.19,49,59821.8,23
msme_techmart_003,2024-09-01,297,357198.34,33,39688.7,23
msme_techmart_003,2024-10-01,643,772590.32,71,85843.37,25
msme_techmart_003,2024-11-01,457,549155.35,50,61017.26,25
msme_techmart_003,2024-12-01,216,259469.9,24,28829.99,27
msme_techmart_003,2025-01-01,442,531592.79,49,59065.87,25
msme_techmart_003,2025-02-01,345,414029.18,38,46003.24,30
msme_techmart_003,2025-03-01,536,643612.17,59,71512.46,22
msme_techmart_003,2025-04-01,790,948999.86,87,105444.43,32
msme_techmart_003,2025-05-01,638,766320.32,70,85146.7,23
msme_techmart_003,2025-06-01,178,213986.87,19,23776.32,19
msme_techmart_003,2025-07-01,413,496622.13,45,55180.24,28
msme_techmart_003,2025-08-01,898,1077759.85,99,119751.09,28
msme_techmart_003,2025-09-01,873,1048656.56,97,116517.4,28
msme_techmart_003,2025-10-01,751,902347.34,83,100260.82,29
msme_techmart_003,2025-11-01,1162,1395165.63,129,155018.4,22
msme_techmart_003,2025-12-01,1304,1564877.25,144,173875.25,23
msme_techmart_003,2026-01-01,908,1090448.45,100,121160.94,26
msme_techmart_003,2026-02-01,1422,1706762.81,158,189640.31,26
msme_techmart_003,2026-03-01,1466,1759939.6,162,195548.84,24
msme_techmart_003,2026-04-01,1026,1231722.87,114,136858.1,29
msme_techmart_003,2026-05-01,1231,1478245.86,136,164249.54,25
msme_techmart_003,2026-06-01,1883,2259694.52,209,251077.17,23
