msme_id,month,utility_type,units_consumed,sanctioned_load,payment_delay_days
msme_elitemotors_006,2024-11-01,electricity,8877.9,150.0,0
msme_elitemotors_006,2024-12-01,electricity,8838.47,150.0,0
msme_elitemotors_006,2025-01-01,electricity,9975.42,150.0,0
msme_elitemotors_006,2025-02-01,electricity,10242.5,150.0,0
msme_elitemotors_006,2025-03-01,electricity,10526.03,150.0,0
msme_elitemotors_006,2025-04-01,electricity,10962.47,150.0,0
msme_elitemotors_006,2025-05-01,electricity,9524.5,150.0,0
msme_elitemotors_006,2025-06-01,electricity,9393.62,150.0,0
msme_elitemotors_006,2025-07-01,electricity,8930.63,150.0,0
msme_elitemotors_006,2025-08-01,electricity,8668.43,150.0,0
msme_elitemotors_006,2025-09-01,electricity,7893.86,150.0,0
msme_elitemotors_006,2025-10-01,electricity,7809.97,150.0,0
msme_elitemotors_006,2025-11-01,electricity,8532.66,150.0,0
msme_elitemotors_006,2025-12-01,electricity,9212.36,150.0,0
msme_elitemotors_006,2026-01-01,electricity,10642.52,150.0,0
msme_elitemotors_006,2026-02-01,electricity,10946.63,150.0,0
msme_elitemotors_006,2026-03-01,electricity,10751.14,150.0,0
msme_elitemotors_006,2026-04-01,electricity,10633.83,150.0,0
msme_elitemotors_006,2026-05-01,electricity,10677.31,150.0,0
msme_elitemotors_006,2026-06-01,electricity,8682.78,150.0,0
msme_goldenharvest_005,2024-07-01,water,4513.22,40.0,0
msme_goldenharvest_005,2024-08-01,water,4220.12,40.0,0
msme_goldenharvest_005,2024-09-01,water,4182.03,40.0,0
msme_goldenharvest_005,2024-10-01,water,3728.12,40.0,73
msme_goldenharvest_005,2024-11-01,water,3922.69,40.0,2
msme_goldenharvest_005,2024-12-01,water,4601.61,40.0,0
msme_goldenharvest_005,2025-01-01,water,4830.06,40.0,0
msme_goldenharvest_005,2025-02-01,water,4829.99,40.0,0
msme_goldenharvest_005,2025-03-01,water,5157.82,40.0,0
msme_goldenharvest_005,2025-04-01,water,5223.63,40.0,0
msme_goldenharvest_005,2025-05-01,water,5141.83,40.0,0
msme_goldenharvest_005,2025-06-01,water,4494.86,40.0,0
msme_goldenharvest_005,2025-07-01,water,0.0,40.0,45
msme_goldenharvest_005,2025-08-01,water,3902.73,40.0,1
msme_goldenharvest_005,2025-09-01,water,4101.44,40.0,0
msme_goldenharvest_005,2025-10-01,water,3878.04,40.0,7
msme_goldenharvest_005,2025-11-01,water,4279.52,40.0,0
msme_goldenharvest_005,2025-12-01,water,4441.53,40.0,3
msme_goldenharvest_005,2026-01-01,water,4820.19,40.0,11
msme_goldenharvest_005,2026-02-01,water,5118.83,40.0,0
msme_goldenharvest_005,2026-03-01,water,0.0,40.0,45
msme_goldenharvest_005,2026-04-01,water,5293.98,40.0,0
msme_goldenharvest_005,2026-05-01,water,5280.49,40.0,2
msme_goldenharvest_005,2026-06-01,water,4540.44,40.0,0
msme_retailmart_004,2024-07-01,electricity,1965.1,30.0,0
msme_retailmart_004,2024-08-01,electricity,1789.65,30.0,0
msme_retailmart_004,2024-09-01,electricity,1771.5,30.0,0
msme_retailmart_004,2024-10-01,electricity,1916.23,30.0,0
msme_retailmart_004,2024-11-01,electricity,2002.04,30.0,0
msme_retailmart_004,2024-12-01,electricity,2127.22,30.0,0
msme_retailmart_004,2025-01-01,electricity,2389.87,30.0,0
msme_retailmart_004,2025-02-01,electricity,2500.05,30.0,0
msme_retailmart_004,2025-03-01,electricity,2390.12,30.0,0
msme_retailmart_004,2025-04-01,electricity,2574.66,30.0,5
msme_retailmart_004,2025-05-01,electricity,2115.81,30.0,17
msme_retailmart_004,2025-06-01,electricity,1825.77,30.0,0
msme_retailmart_004,2025-07-01,electricity,2119.54,30.0,0
msme_retailmart_004,2025-08-01,electricity,1851.26,30.0,0
msme_retailmart_004,2025-09-01,electricity,1719.7,30.0,5
msme_retailmart_004,2025-10-01,electricity,1771.68,30.0,0
msme_retailmart_004,2025-11-01,electricity,1961.38,30.0,0
msme_retailmart_004,2025-12-01,electricity,2095.18,30.0,0
msme_retailmart_004,2026-01-01,electricity,2369.27,30.0,0
msme_retailmart_004,2026-02-01,electricity,2312.5,30.0,18
msme_retailmart_004,2026-03-01,electricity,2476.96,30.0,0
msme_retailmart_004,2026-04-01,electricity,2342.04,30.0,0
msme_retailmart_004,2026-05-01,electricity,2183.23,30.0,0
msme_retailmart_004,2026-06-01,electricity,2024.28,30.0,0
msme_sakhi_001,2024-07-01,electricity,3252.66,50.0,0
msme_sakhi_001,2024-08-01,electricity,3234.27,50.0,0
msme_sakhi_001,2024-09-01,electricity,2918.46,50.0,0
msme_sakhi_001,2024-10-01,electricity,2791.65,50.0,0
msme_sakhi_001,2024-11-01,electricity,2794.45,50.0,0
msme_sakhi_001,2024-12-01,electricity,3766.45,50.0,0
msme_sakhi_001,2025-01-01,electricity,3688.93,50.0,0
msme_sakhi_001,2025-02-01,electricity,4299.41,50.0,0
msme_sakhi_001,2025-03-01,electricity,4091.59,50.0,0
msme_sakhi_001,2025-04-01,electricity,3744.46,50.0,0
msme_sakhi_001,2025-05-01,electricity,3738.91,50.0,0
msme_sakhi_001,2025-06-01,electricity,3334.52,50.0,0
msme_sakhi_001,2025-07-01,electricity,3026.01,50.0,0
msme_sakhi_001,2025-08-01,electricity,2796.7,50.0,0
msme_sakhi_001,2025-09-01,electricity,3065.57,50.0,0
msme_sakhi_001,2025-10-01,electricity,3088.96,50.0,0
msme_sakhi_001,2025-11-01,electricity,3148.91,50.0,0
msme_sakhi_001,2025-12-01,electricity,3586.93,50.0,0
msme_sakhi_001,2026-01-01,electricity,3904.37,50.0,0
msme_sakhi_001,2026-02-01,electricity,3802.01,50.0,0
msme_sakhi_001,2026-03-01,electricity,4041.41,50.0,0
msme_sakhi_001,2026-04-01,electricity,3872.57,50.0,0
msme_sakhi_001,2026-05-01,electricity,3709.92,50.0,0
msme_sakhi_001,2026-06-01,electricity,3685.97,50.0,0
msme_techmart_003,2024-07-01,electricity,1065.98,25.0,0
msme_techmart_003,2024-08-01,electricity,936.89,25.0,0
msme_techmart_003,2024-09-01,electricity,1026.45,25.0,0
msme_techmart_003,2024-10-01,electricity,1085.57,25.0,0
msme_techmart_003,2024-11-01,electricity,1114.13,25.0,0
msme_techmart_003,2024-12-01,electricity,1218.33,25.0,0
msme_techmart_003,2025-01-01,electricity,1249.54,25.0,0
msme_techmart_003,2025-02-01,electricity,1398.85,25.0,0
msme_techmart_003,2025-03-01,electricity,1380.08,25.0,0
msme_techmart_003,2025-04-01,electricity,1388.77,25.0,0
msme_techmart_003,2025-05-01,electricity,1337.78,25.0,0
msme_techmart_003,2025-06-01,electricity,1261.93,25.0,0
msme_techmart_003,2025-07-01,electricity,1138.37,25.0,0
msme_techmart_003,2025-08-01,electricity,1033.86,25.0,0
msme_techmart_003,2025-09-01,electricity,1038.07,25.0,0
msme_techmart_003,2025-10-01,electricity,1011.06,25.0,0
msme_techmart_003,2025-11-01,electricity,1018.49,25.0,0
msme_techmart_003,2025-12-01,electricity,1112.53,25.0,0
msme_techmart_003,2026-01-01,electricity,1277.25,25.0,0
msme_techmart_003,2026-02-01,electricity,1331.12,25.0,0
msme_techmart_003,2026-03-01,electricity,1428.07,25.0,0
msme_techmart_003,2026-04-01,electricity,1394.96,25.0,0
msme_techmart_003,2026-05-01,electricity,1304.78,25.0,0
msme_techmart_003,2026-06-01,electricity,1281.4,25.0,0
